author_id,author
194,George Eliot/A.S. Byatt
195,George Orwell/Boris Grabnar/Peter Škerl
196,George Orwell/Christopher Hitchens
197,George Orwell/Lionel Trilling
198,George R.R. Martin
199,George S. Clason
200,George Selden/Garth Williams
201,Geraldine Brooks
202,Giada De Laurentiis
203,Graham Greene/Monica Ali
204,Graham Greene/Robert  Stone
205,Grant Morrison/Dave McKean
206,Greg Behrendt/Liz Tuccillo
207,Gregory Maguire
208,Gregory Maguire/Douglas Smith/Jelena Bojić
209,Gwyn Hyman Rubio
210,H. Rider Haggard
211,H.G. Wells
212,H.G. Wells/Arthur C. Clarke
213,Harlan Coben
214,Haruki Murakami
215,Haruki Murakami/Alfred Birnbaum
216,Haruki Murakami/Jay Rubin
217,Haruki Murakami/Philip Gabriel
218,Henry David Thoreau
219,Henry James/Patricia Crick
220,Henry Miller/Jiří Níl
221,Herman Wouk
222,Herodotus/Aubrey de Sélincourt/John M. Marincola
223,Hiromu Arakawa/Akira Watanabe
224,Homer/Robert Fagles/Bernard Knox
225,Howard Zinn
226,Iain M. Banks
227,Ian Fleming
228,Ian McEwan
229,Ilona Andrews
230,Irvine Welsh/Eric Lindor Fall
231,Isaac Asimov
232,Isabel Allende/Margaret Sayers Peden
233,Ishmael Beah
234,Ivan Turgenev/George Reavy/Jane Costlow
235,J.D. Salinger
236,J.K. Rowling/Mary GrandPré
237,J.M. Barrie/Michael Hague
238,J.M. Coetzee
239,J.R. Ward
240,J.R.R. Tolkien
241,J.R.R. Tolkien/Christopher Tolkien/Ted Nasmith
242,J.R.R. Tolkien/Peter S. Beagle
243,Jack London
244,Jack London/Avi
245,Jacqueline Carey
246,Jacquelyn Mitchard
247,James   McBride
248,James A. Michener
249,James C. Collins/Jerry I. Porras
250,James Clavell
251,James D. Bradley/Ron Powers
252,James Ellroy
253,James Fenimore Cooper
254,James Frey
255,James Joyce/Jeri Johnson/Thiên Lương
256,James Joyce/Seamus Deane
257,James Patterson
258,James Patterson/Andrew Gross
259,James Patterson/Howard Roughan
260,James Patterson/Maxine Paetro
261,James Patterson/Michael Ledwidge
262,James Patterson/Peter de Jonge
263,James Patterson/مریم کاظمی‌تبار
264,Jane Austen/Fiona Stafford
265,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch
266,Jane Green
267,Jane Hamilton
268,Jane Hamilton/Frank  Muller/C.J. Critt
269,Jane Smiley
270,Janet Evanovich
271,Janet Evanovich/Lorelei King
272,Janet Fitch
273,Jared Diamond
274,Jasper Fforde
275,Jean Craighead George
276,Jean M. Auel
277,Jean-Jacques Rousseau/Maurice Cranston
278,Jeannette Walls
279,Jeffery Deaver
280,Jeffrey Eugenides
281,Jen Lancaster
282,Jennifer Crusie
283,Jennifer Weiner
284,Jenny Nimmo
285,Jerome K. Jerome
286,Jhumpa Lahiri
287,Jim Butcher
288,Jim Fergus
289,Joan Didion
290,Joanne Fluke
291,Jodi Picoult
292,Joe Haldeman
293,Joe Simpson
294,Johann Wolfgang von Goethe/Burton Pike/Edla Valdna
295,Johann Wolfgang von Goethe/Peter Salm
296,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
297,John Bunyan
298,John Eldredge
299,John Eldredge/Stasi Eldredge
300,John Fowles
301,John Gray
302,John Grisham
303,John Grisham/Jorma-Veikko Sappinen
304,John Grogan
305,John Hersey
306,John Howard Griffin
307,John Irving
308,John Knowles/David Levithan
309,John Milton/John      Leonard
310,John Sandford
311,John Steinbeck
312,John Steinbeck/Susan Shillinglaw
313,Jon Kabat-Zinn
314,Jon Krakauer
315,Jon Stone/Michael J. Smollin
316,Jonathan Franzen
317,Jonathan Safran Foer
318,Jonathan Swift/Robert DeMaria Jr.
319,Joseph Campbell/Bill Moyers
320,Joseph Conrad
321,Joseph J. Ellis
322,José Saramago/Giovanni Pontiero
323,Joyce Carol Oates
324,Judi Barrett/Ron Barrett
325,Judy Blume
326,Jules Verne
327,Jules Verne/Anthony Bonner
328,Jules Verne/Caleb Carr/Jordan Stump
329,Julia Child/Alex Prud'Homme
330,Julie Powell
331,Jung Chang
332,Kahlil Gibran/جبران خليل جبران/Jihad El
333,Karen Armstrong
334,Karen Cushman
335,Karen Joy Fowler
336,Karin Slaughter
337,Karl Marx/Friedrich Engels/Gareth Stedman Jones
338,Kate Atkinson
